Text,Created,Likes,Sentiment
$FCEL looks like will close at 15.50$,2021-01-08T20:49:26Z,34,{'basic': 'Bullish'}
"$AMCI We have been price mirroring $FCEL all day and it&#39;s creepy. I don&#39;t care if they go above us or below, just stop it. 😂",2021-01-08T20:48:30Z,24226,{'basic': 'Bullish'}
"$FCEL come on, friday selloff PLEASE!!!!!!

I know you all will hate that. I am going to buy right back in. I just need it lower!",2021-01-08T20:48:28Z,141,
"$FCEL consolidation, after hours gonna be nice , North Korea gives FCEL 2.0 billion $ to compete with $PLUG",2021-01-08T20:44:56Z,399,{'basic': 'Bullish'}
"Since called here on 9/9/2020, $FCEL is up 481%, $PACB is up 447%, and $RHE is up %161! 

Please do consider following me here on Stocktwits for Frankenstein-like profits.

All the best!📈👍💰👌",2021-01-08T20:43:49Z,463,{'basic': 'Bullish'}
$FCEL should I buy in for after hours gains,2021-01-08T20:42:43Z,20,{'basic': 'Bullish'}
$FCEL,2021-01-08T20:42:34Z,268,{'basic': 'Bullish'}
$FCEL - Have a good week end guys -,2021-01-08T20:41:42Z,1536,{'basic': 'Bullish'}
$FCEL you mean Monday,2021-01-08T20:40:43Z,268,
$FCEL bears thinking about holding over the weekend. 😆😆😆,2021-01-08T20:40:40Z,228,{'basic': 'Bullish'}
$FCEL small walls we break them we c 16,2021-01-08T20:40:40Z,51,
$FCEL up 20% tomorrow.....fact,2021-01-08T20:40:09Z,57,{'basic': 'Bullish'}
"$GEVO nice mention of alternative energy on Cnbc. Didn&#39;t talk about this specifically, but they did mention $FCEL.",2021-01-06T17:30:14Z,21,
$FCEL ohh snap,2021-01-06T17:30:03Z,140,
$FCEL 14 push lets go after lunch..,2021-01-06T17:29:01Z,37,{'basic': 'Bullish'}
$FCEL stocks going up,2021-01-06T17:28:57Z,78,{'basic': 'Bullish'}
$FCEL back up and hard! .. $25 is not far.. will catch $PLUG also!,2021-01-06T17:28:44Z,438,{'basic': 'Bullish'}
$FCEL I come back from taking a shower and see this. Nice!,2021-01-06T17:28:26Z,7539,{'basic': 'Bullish'}
"$FCEL Super glad this hit my stop at 10.50. CNBC mentioning it now, y’all enjoy the pump!",2021-01-06T17:28:04Z,13362,{'basic': 'Bullish'}
$FCEL 🐐🐐🐐,2021-01-06T17:27:53Z,1031,{'basic': 'Bullish'}
$FCEL keep going,2021-01-06T17:27:42Z,100,{'basic': 'Bullish'}
$FCEL All  Millennials are buying HYDROGEN in this decade 🚀💰💪😃 With ALL the PATENTS we have and potential to scale the business with government&#39;s green CATALIST for HYDROGEN we are all in a right place. LONG TERM FINANSIAL FUTURE.,2021-01-06T17:27:40Z,1577,
$FCEL Najarian plug on CNBC just now,2021-01-06T17:27:31Z,93,
