Text,Created,Likes,Sentiment
"Large Print $COTY Size: 100303 Price: 7.02 Time: 1635 Amount: $704,127.06",2020-12-31T21:35:24Z,114,
"$COTY SEC Form 4 filed

🐃Bullish or 🐻Bearish? Read and Vote!
https://quantisnow.com/insight/247673

#packagegoodscosmetics #consumernondurables",2020-12-31T21:35:15Z,93,
"$COTY $150,000,539.00 of shares acquired by Harf Peter (Director), reported in a new form 4 filed with the SEC  

https://newsfilter.io/a/60dac4825eb6a422ad139f56f7b9a27a",2020-12-31T21:35:12Z,531,
"$COTY  Looky there... Volume picking up, price going up...",2020-12-30T15:22:38Z,208,
$COTY volume seems low today as well.,2020-12-30T14:41:43Z,23,
$COTY burning premium with this move post breakout. As soon as the Jan 15 calls are worthless we see $8+.,2020-12-30T14:27:03Z,613,
Coty $COTY BidaskScore is Downgraded to Held https://bidaskclub.com/news/company/2020-12-29/COTY,2020-12-30T13:14:06Z,1011,
$COTY,2020-12-30T09:52:28Z,1,
$COTY in since 4.36 and not even considering a sell until 12-15,2020-12-30T02:49:37Z,550,{'basic': 'Bullish'}
$COTY come on Coty show me real gains,2020-12-30T01:41:20Z,3773,{'basic': 'Bullish'}
"Large Print $COTY Size: 170522 Price: 6.86 Time: 1900 Amount: $1,169,780.92",2020-12-30T00:00:01Z,114,
$COTY not scared,2020-12-29T23:53:42Z,1335,{'basic': 'Bullish'}
"$COTY still got my 1,000 free shares. Holding for the long road back to $30. Let&#39;s get it",2020-12-29T23:40:20Z,152,{'basic': 'Bullish'}
$COTY ,2020-12-29T23:37:41Z,42,
"Large Print $COTY Size: 170522 Price: 6.86 Time: 1830 Amount: $1,169,780.92",2020-12-29T23:30:01Z,114,
Coty Inc just filed its Initial statement of beneficial ownershi http://www.conferencecalltranscripts.org/include?location=http://www.sec.gov/Archives/edgar/data/1024305/000102430520000136/0001024305-20-000136-index.htm $COTY,2020-12-29T23:22:04Z,762,
"$COTY [15s. delayed] filed SEC form 3: Director Makanju Anna Adeola: 
 https://s.flashalert.me/Up5yUU",2020-12-29T23:21:45Z,4,
"$COTY SEC Form 3 filed

🐃Bullish or 🐻Bearish? Read and Vote!
https://quantisnow.com/insight/243689

#packagegoodscosmetics #consumernondurables",2020-12-29T23:21:31Z,93,
"$COTY Form 3 (initial statement of beneficial ownership of securities) filed with the SEC 

https://newsfilter.io/a/e7e676f17cb5b5fab8d617aeb5c28640",2020-12-29T23:21:26Z,531,
$COTY Ehere are the Najarian&#39;s when you need them,2020-12-29T22:12:08Z,25,{'basic': 'Bullish'}
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2020-12-29/,2020-12-29T21:32:13Z,94,
Large Print $COTY Size: 170522 Price: 6.86 Time: 1610,2020-12-29T21:10:00Z,114,
